season,team,playoffs,total_points,field_goals_percent,three_points_percent,two_points_percent,free_throw_percent,total_rebound,assist,steal,block,turnover,personal_foul
2023,ATL,0,9711,0.483,0.352,0.548,0.818,3639,2049,580,401,1060,1541
2023,BOS,1,9671,0.475,0.377,0.567,0.812,3717,2186,521,430,1095,1542
2023,BRK,0,9295,0.487,0.378,0.559,0.8,3322,2093,585,506,1127,1730
2023,CHI,0,9276,0.49,0.361,0.555,0.809,3473,2006,644,371,1097,1551
2023,CHO,0,9098,0.457,0.33,0.528,0.749,3652,2062,634,425,1164,1661
2023,CLE,1,9205,0.488,0.367,0.559,0.78,3369,2045,586,384,1094,1560
2023,DAL,1,9366,0.475,0.371,0.574,0.755,3181,1880,514,304,1002,1697
2023,DEN,1,9495,0.504,0.379,0.575,0.751,3527,2368,618,368,1192,1525
2023,DET,0,9045,0.454,0.351,0.516,0.771,3480,1884,574,308,1237,1813
2023,GSW,0,9753,0.479,0.385,0.564,0.794,3657,2446,588,323,1336,1757
2023,HOU,0,9081,0.457,0.327,0.53,0.754,3795,1835,600,374,1332,1679
2023,IND,1,9535,0.469,0.367,0.54,0.79,3407,2213,631,478,1225,1741
2023,LAC,1,9314,0.477,0.381,0.539,0.781,3545,1959,580,364,1167,1598
2023,LAL,1,9608,0.482,0.346,0.555,0.775,3748,2072,526,378,1154,1466
2023,MEM,0,9587,0.475,0.351,0.548,0.733,3823,2135,680,473,1116,1643
2023,MIA,1,8977,0.46,0.344,0.54,0.831,3329,1955,655,243,1106,1516
2023,MIL,1,9589,0.473,0.368,0.557,0.743,3988,2115,521,403,1199,1481
2023,MIN,1,9494,0.49,0.365,0.568,0.755,3435,2145,657,444,1258,1768
2023,NOP,1,9378,0.48,0.364,0.541,0.793,3583,2122,681,337,1196,1678
2023,NYK,1,9514,0.47,0.354,0.547,0.761,3821,1880,527,340,1065,1666
2023,OKC,1,9633,0.465,0.356,0.53,0.809,3579,2002,676,341,1069,1722
2023,ORL,1,9136,0.47,0.346,0.539,0.784,3546,1906,603,382,1236,1652
2023,PHI,1,9448,0.487,0.387,0.551,0.835,3356,2063,635,389,1121,1675
2023,PHO,1,9319,0.467,0.374,0.52,0.793,3628,2235,585,432,1110,1739
2023,POR,0,9299,0.474,0.365,0.55,0.796,3325,1981,553,376,1185,1643
2023,SAC,0,9898,0.494,0.369,0.586,0.79,3481,2237,574,275,1106,1616
2023,SAS,0,9269,0.465,0.345,0.529,0.743,3584,2232,572,322,1253,1630
2023,TOR,0,9254,0.459,0.335,0.525,0.784,3528,1961,772,424,956,1641
2023,UTA,0,9600,0.473,0.353,0.56,0.786,3762,2129,500,429,1259,1679
2023,WAS,0,9279,0.485,0.356,0.559,0.785,3576,2083,561,424,1157,1539
2022,ATL,1,9343,0.47,0.374,0.531,0.812,3606,2017,587,348,972,1534
2022,BOS,1,9164,0.466,0.356,0.547,0.816,3778,2036,591,478,1118,1521
2022,BRK,1,9258,0.475,0.361,0.538,0.805,3640,2071,582,448,1153,1670
2022,CHI,1,9152,0.48,0.369,0.535,0.813,3471,1958,585,336,1053,1540
2022,CHO,0,9457,0.468,0.365,0.542,0.74,3655,2302,707,402,1087,1629
2022,CLE,0,8839,0.469,0.355,0.541,0.76,3623,2064,580,343,1181,1433
2022,DAL,1,8858,0.461,0.35,0.548,0.771,3528,1918,552,325,1025,1612
2022,DEN,1,9243,0.483,0.353,0.575,0.795,3617,2279,592,305,1189,1639
2022,DET,0,8596,0.431,0.326,0.498,0.782,3525,1924,630,393,1163,1799
2022,GSW,1,9102,0.469,0.364,0.557,0.769,3730,2223,719,372,1221,1723
2022,HOU,0,8997,0.456,0.349,0.543,0.713,3446,1932,600,382,1351,1692
2022,IND,0,9140,0.463,0.344,0.541,0.768,3596,2081,582,457,1183,1675
2022,LAC,0,8890,0.458,0.374,0.512,0.793,3607,1969,608,406,1126,1528
2022,LAL,0,9192,0.469,0.347,0.546,0.732,3608,1968,626,425,1191,1654
2022,MEM,1,9480,0.461,0.353,0.519,0.734,4032,2131,800,533,1082,1620
2022,MIA,1,9022,0.467,0.379,0.531,0.808,3585,2090,606,265,1194,1679
2022,MIL,1,9470,0.468,0.366,0.544,0.776,3830,1960,623,326,1100,1494
2022,MIN,1,9507,0.457,0.358,0.54,0.778,3621,2106,721,460,1175,1786
2022,NOP,1,8962,0.457,0.332,0.528,0.789,3707,2047,680,328,1153,1612
2022,NYK,0,8731,0.437,0.357,0.497,0.744,3782,1793,570,399,1087,1672
2022,OKC,0,8506,0.43,0.323,0.507,0.756,3741,1822,622,380,1145,1497
2022,ORL,0,8547,0.434,0.331,0.507,0.787,3631,1947,555,367,1188,1612
2022,PHI,1,9015,0.466,0.364,0.527,0.821,3470,1945,633,435,1027,1590
